,Latitude_DD,Longitude_DD,SAFE-pH
31,28.7480325,-81.8748525,1.0
48,28.7525,-81.9016667,1.0
228,28.743889,-81.873056,1.0
239,28.75033056,-81.92891944,1.0
342,28.64211058,-81.84059736,0.0
369,28.7480325,-81.8748525,1.0
499,28.7480325,-81.8748525,0.0
501,28.7480325,-81.8748525,1.0
524,28.75194278,-81.90166411,1.0
544,28.7541,-81.9006019,1.0
613,28.747222,-81.874861,1.0
619,28.75194278,-81.90166411,1.0
696,28.7525,-81.9016667,0.0
720,28.74388889,-81.87305556,0.0
769,28.75196816,-81.90158253,1.0
851,28.7525,-81.9016667,0.0
854,28.7525,-81.9016667,0.0
898,28.74388889,-81.87305556,1.0
940,28.74388889,-81.87305556,1.0
943,28.75194278,-81.90166411,1.0
1034,28.7525,-81.9016667,1.0
1045,28.7480325,-81.8748525,0.0
1046,28.74419999,-81.8728,0.0
1087,28.750278,-81.928611,1.0
1101,28.7480325,-81.8748525,0.0
1122,28.74388889,-81.87305556,0.0
1267,28.7480325,-81.8748525,1.0
1352,28.74388889,-81.87305556,1.0
1360,28.74419999,-81.8728,0.0
1409,28.74419999,-81.8728,0.0
1496,28.7525,-81.9016667,1.0
1522,28.750278,-81.928611,1.0
1531,28.66361111,-81.84944445,0.0
1549,28.66374528,-81.84935167,0.0
1557,28.7480325,-81.8748525,1.0
1581,28.7480325,-81.8748525,0.0
1605,28.75033056,-81.92891944,1.0
1685,28.7480325,-81.8748525,1.0
1692,28.75029722,-81.92889167,0.0
1758,28.7480325,-81.8748525,1.0
1770,28.7480325,-81.8748525,1.0
1785,28.743889,-81.873056,1.0
1788,28.679167,-81.884778,0.0
1840,28.679167,-81.884778,1.0
1954,28.7480325,-81.8748525,1.0
1960,28.750278,-81.928611,1.0
1964,28.750278,-81.928611,1.0
2057,28.645,-81.8464,0.0
2110,28.679167,-81.884778,0.0
2335,28.7480325,-81.8748525,1.0
2360,28.75196816,-81.90158253,1.0
2374,28.7480325,-81.8748525,0.0
2482,28.7480325,-81.8748525,1.0
2508,28.74388889,-81.87305556,0.0
2597,28.7480325,-81.8748525,1.0
2615,28.68942417,-81.8959175,1.0
2665,28.75196816,-81.90158253,1.0
2741,28.74388889,-81.87305556,0.0
2774,28.743889,-81.873056,1.0
2776,28.74388889,-81.87305556,0.0
2818,28.747222,-81.874861,0.0
2833,28.74388889,-81.87305556,0.0
2854,28.7525,-81.9016667,1.0
2859,28.74419999,-81.8728,1.0
2884,28.75029722,-81.92889167,0.0
2908,28.7525,-81.9016667,1.0
2929,28.75196816,-81.90158253,1.0
2937,28.7525,-81.9016667,0.0
3005,28.74388889,-81.87305556,0.0
3036,28.750278,-81.928611,1.0
3115,28.68941667,-81.89590833,1.0
3116,28.75033056,-81.92891944,1.0
3221,28.645,-81.8464,0.0
3234,28.75029722,-81.92889167,1.0
3261,28.7480325,-81.8748525,1.0
3271,28.747222,-81.874861,1.0
3306,28.743889,-81.873056,0.0
3323,28.750278,-81.928611,1.0
3352,28.74789311,-81.87469265,1.0
3381,28.74419999,-81.8728,0.0
3396,28.743889,-81.873056,1.0
3503,28.679167,-81.884778,0.0
3511,28.74388889,-81.87305556,0.0
3516,28.7480325,-81.8748525,0.0
3616,28.7525,-81.9016667,1.0
3632,28.75083333,-81.87583333,1.0
3668,28.75033056,-81.92891944,1.0
3681,28.67961503,-81.88457103,0.0
3685,28.747222,-81.874861,1.0
3689,28.64211058,-81.84059736,0.0
3761,28.74419999,-81.8728,0.0
3773,28.7525,-81.9016667,1.0
3833,28.75029722,-81.92889167,0.0
3850,28.743889,-81.873056,0.0
3873,28.7480325,-81.8748525,1.0
3886,28.7480325,-81.8748525,0.0
3890,28.74388889,-81.87305556,1.0
3895,28.74388889,-81.87305556,1.0
3935,28.7480325,-81.8748525,1.0
3959,28.7480325,-81.8748525,1.0
3998,28.7480325,-81.8748525,0.0
4015,28.750278,-81.928611,1.0
4094,28.7480325,-81.8748525,0.0
4101,28.7480325,-81.8748525,1.0
4128,28.7525,-81.9016667,0.0
4172,28.743889,-81.873056,1.0
4208,28.74419999,-81.8728,0.0
4210,28.69829046,-81.85207815,1.0
4236,28.743889,-81.873056,0.0
4257,28.7480325,-81.8748525,1.0
4270,28.7525,-81.9016667,1.0
4278,28.7480325,-81.8748525,1.0
4289,28.7480325,-81.8748525,1.0
4359,28.645,-81.8464,0.0
